Количество	Запрос
19	маша собирает ведро малины за 3 часа а саша за 5 часов
19	мотоциклист проехал 19 км за 15 минут
19	на заводе за 3 дня изготовили 36 голубых и 49 красных автомобилей
19	на обработку одной детали первый рабочий затрачивает на 6 минут меньше, чем  второй. сколько деталей обработает второй рабочий за 7 часов, если первый за это  время обработает на 8 деталей больше второго?
19	наборщик за час набирает 10 страниц рукописного текста задача 3 класс
19	один мастер может выполнить заказ за 9 часов а другой за 18 часов
19	одна машинистка может перепечатать рукопись за 3 часа а другая за 4 часа
19	одна швея может выполнить работу за 4 часа другая за 5 часов какую часть
19	олег проехал на мотороллере 100 км за 3 часа
19	оля за час раскрашивает
19	первый кран может заполнить бассейн за 16 часов если через 8 часов
19	первый насос наполняет бак за 15 минут второй за 20 минут а третий за час
19	первый рабочий работая один выполняет работу за 14 дней а второй рабочий
19	петя и ваня выполняют одинаковый тест петя отвечает за час на 6
19	поезд проходит 75 см. за ¼ секунды. если он будет ехать с той же скоростью, то какое расстояние (в сантиметрах) он пройдет за 5 секунд?
19	поезд, двигаясь равномерно со скоростью 75 км/ч, проезжает мимо пешехода, идущего параллельно путям со скоростью 3 км/ч навстречу поезду, за 30 секунд. найдите длину поезда в метрах.
19	призван в 1941 году из сталинска. за 2 дня в апреле 1943 года старший сержант медицинской службы вынес с поля боя 15 человек. награжден медалью «за отвагу»
19	пять землекопов могут вырыть за 5 дней 5 км
19	рабочий должен был изготовить определенное число деталей за 12 дней
19	решить задачу в типографии за день отпечатали 3600 книг
19	самолет пролетел 1260 км за 3 часа
19	серёжа купил 8 тетрадей по 12 р за месяц
19	сколько килограмм двигатель мощностью в 1 лошадиную силу поднимет на 1 метр за 1 секунду
19	сколько метров проплывёт окунь за 8 минут
19	сколько энергии израсходует электрическая лампа мощностью 50 вт за месяц
19	скорость 75 метров в минуту какое расстояние пройдёт за 4 часа 3 класс
19	средний мужчина доходит до оргазма за 8 минут. вот тебе три нехитрых трюка, чтобы продержаться необходимых 20. лично мне помогает! первый способ
19	таксист за месяц проехал 6000 км. стоимость 1 литра бензина 21 рубль. средний расход бензина на 100 км составляет 6 литров. сколько рублей потратил таксист на бензин за этот месяц?
19	таксист за месяц проехал 5500 км стоимость 1 л бензина 22 рубля
19	теплоход за 6 часов прошел 180 км на сколько нужно увеличить
19	три тракторные бригады вместе вспахивают поле за 4 дня
19	убираем ржавчину с любых поверхностей за 30 секунд!!! девчонки, раскрою вам секрет. моя ванна и туалет просто сверкают, а всё благодаря новому чистящему средству, которое я для себя открыла. готовится легко
19	улитка за день заползает вверх по дереву на 2 м, а за ночь сползает на 1 м. высота дерева 9 м. за сколько дней улитка впервые доползёт до вершины дерева?
19	утром у продавца было 25 ёлок сколько ёлок он продал за день если вечером
19	фабрика должна выпустить партию изделий за 10 дней
19	школьник прочитал книгу содержащую 153 страницы за 3 дня
19	экскаватор может выкопать за 1 час
18	12 одинаковых станков выполняют заказ за 17 часов
18	2 землекопа за 2 часа выкопают 2 м канавы решение
18	автобус за 8 часов работы расходует 48 литров топлива ответ
18	автомобиль проехал 180 км за 3 часа
18	александр александрович ларин генератор вариантов егэ2014 бегун пробежал450м за 50 секунд
18	аня купила проездной билет на месяц и сделала за месяц 35 поездок
18	бегун пробежал 300 м за 30 секунд найдите среднюю скорость
18	бригада строителей построила ферму за 48 дней по плану требовалось
18	будут ли месячные если забеременеть за день до месячных
18	в магазин за 3 дня продал 1240.8 кг сахара
18	в магазине было 148 кг свеклы сколько килограммов свеклы продали за день
18	в цистерну с водой через одну трубу вливается 6 ведер за 20 минут
18	васе надо решить 490 задач. ежедневно он решает на одно и то же количество задач больше по сравнению с предыдущим днем. известно, что за первый день вася решил 5 задач. определите, сколько задач решил вася в последний день, если со всеми задачами он справился за 14 дней.
18	врачи молчат об этом! лекарство, которым исцелял еще сам гиппократ! 1. дизентерия проходит - за 5 часов. 2. сальмонеллез - за 5 часов. 3. язва желудка - за неделю. 4. колит (толстая кишка) - за неделю. 5. дисбактериоз - за неделю.
18	гений находит решение за 10 секунд билл гейтс за 20 секунд
18	грузовик перевозит партию щебня массой 210 тонн, ежедневно увеличивая норму перевозки на одно и то же число тонн. известно, что за первый день было перевезено 2 тонны щебня. определите, сколько тонн щебня было перевезено за девятый день, если вся работа была выполнена за 14 дней.
18	два подъемных крана работая вместе разгрузили баржу за 10 часов
18	две бригады работая совместно закончили работу за 4 дня
18	две машинистки, работая вместе, могут выполнить работу за 15 дней. за сколько дней, работая отдельно, выполнит эту работу первая машинистка, если она за три дня выполняет такую же часть работы, какую вторая - за пять дней?
18	две машины движутся навстречу друг другу приблизились за 1 час
18	две трубы при совместной работе наполнили бассейн за 24 минуты
18	двое рабочих работая вместе могут оклеить комнату обоями за 6 часов
18	дорога между пунктами a и в состоит из подъёма и спуска, а её длина равна 14 км. турист прошёл путь из а в в за 4 часа, из которых спуск занял 2 часа. с какой скоростью турист шёл на спуске, если его скорость на подъёме меньше его скорости на спуске на 3 км/ч?
18	за 1 час автомобиль проехал 80 км сколько километров он проедет за
18	за 2 дня турист прошел 5/8 пути за первый день он прошел 3/8 пути
18	за 2 часа электропоезд прошёл 7/11 расстояния
18	за 20 минут через утюг проходит электрический заряд 960 кл. определите силу тока в утюге.
18	за 3 минуты моторная лодка преодолела расстояние 750 м
18	за 8 дней туристы велосипедисты проехали 240 км
18	за 8 минут наполнили бензином 0.28 цистерны
18	за 8 минут самолёт двигаясь с одинаковой скоростью пролетел 96 км краткая запись
18	за день турист прошел 24 км, что составило   длины намеченного маршрута. определите длину маршрута.
18	за неделю до истечения срока годности магазин уценил мармелад в пачках
18	за неделю серёжа исписал 2 одинаковые тетради
18	завод за день выпустил
18	задача один рабочий изготавливал за день 23 детали а другой 21 деталь
18	задача черепаха за 3 минуты
18	знаменитый крем против морщин, который за неделю разгладит самую плохую кожу.впитывается долго, больше часа, поэтому им нужно пользоваться за 2 часа до сна.
18	знаменитый крем против морщин, который за неделю разгладит самую плохую кожу.впитывается долго, больше часа, поэтому им нужно пользоваться за 2 часа до сна. первый результат увидите через 3 дня.
18	игорь и паша красят забор за 20 часов. паша и володя красят этот же забор за 24 часа, а володя и игорь — за 30 часов. за сколько часов мальчики покрасят забор, работая втроём?
18	игорь и паша красят забор за 24 часа. паша и володя красят этот же забор за 35 часов, а володя и игорь — за 40 часов. за сколько часов мальчики покрасят забор, работая втроем?
18	к началу рабочего дня в хлебном магазине было  50 батонов хлеба. за 8 часов работы магазина купили 400 батонов. каждый час в магазин привозят 40 батонов. через сколько часов в магазине не будет ни одного батона?
18	как решить задачу магазин за 3 дня продал 1240.8 кг сахара
18	какова скорость мотоциклиста если он проехал 240 км за 3 часа
18	какую часть стены маляр красит за 1 час если всю стену он красит за 1/3
18	катер прошел расстояние между пристанями по течению реки за 2 часа
18	лодка проплыла некоторое расстояние по озеру за 4 часа
18	лыжник может пройти расстояние в 20 км за 2 часа как решить
18	малыш съедает 600 грамм варенья за 6 минут
18	мастер может отштамповать 480 деталей за 4 часа решение
18	машинистка должна была перепечатать рукопись за 6 часов
18	машинистка может напечатать текст за 10 часов
18	мотоцикл за 6 часов проехал 480 км
18	мотоциклист проехал расстояние 160 км за 4 часа
18	нереально вкусная скумбрия за 3 минуты! этот рецепт маме рассказала продавщица рыбы на рынке. рецепт >>> http://t.co/dl2dot2n6m
18	один рыбак может сплести сеть за 3 дня другой за 4 дня
18	от турбазы до станции турист доехал на велосипеде за 5 часов
18	первый рабочий за час делает на 5 деталей больше чем второй
18	первый рабочий работая один выполняет работу за 28 дней
18	пешеход за 6 часов прошел 24 км
18	плавательный бассейн наполняется двумя трубами за 48 минут
18	по столбу высотой 6 метров ползет вверх улитка за день она поднимается
18	поезд движется со скоростью 90 км/ч сколько метров он проходит за 1 минуту
18	поезд проходит 320 км за 5 часов
18	при измерении пульса человека было зафиксировав 75 пульсаций крови за 1 минуту. определите период сокращения сердечной мышцы.
18	при совместной работе двух кранов разгрузку баржи закончили за 6 часов
18	рабочие прокладывают тоннель длиной 500 метров, ежедневно увеличивая норму прокладки на одно и то же число метров. известно, что за первый день рабочие проложили 3 метра тоннеля. определите, сколько метров тоннеля проложили рабочие в последний день, если вся работа была выполнена за 10 дней.
18	расстояние между городами автомобиль преодолевает за 3 часа а автобус
18	расстояние между населенными пунктами на велосипеде можно преодолеть за 2 часа
18	садовый насос перекачал 73 литра воды за 25 минут
18	самолёт за 3 часа пролетел 960 км
18	сколько раз за 12 часов часовая и минутная стрелки совпадают
18	скорость велосипедиста 12 км/ч какое расстояние он проедет за 3 часа
18	скорость вертолета в 5 раз больше скорости автомашины вертолет за 2 часа
18	теплоход за 6 часов прошел 144 км.с какой скоростью двигался теплоход
18	теплоход за 9 часов прошел 360 км в первый день. во второй день теплоход с прежней скоростью был в пути 12 часов. сколько всего километров преодолел теплоход за 2 дня?
18	теплоход проходит от пристани а до пристани в по течению реки за 3 часа
18	три курицы за три дня несут три яйца. сколько яиц снесут 12 таких же кур за 12 дней?
18	турист прошел 15 км за 3 часа с какой скоростью он шел
18	удельная теплота плавления свинца 22,6 кдж/кг, какой мощности нагреватель нужен для расплавления за 10 минут 6 кг свинца, нагретого до температуры плавления?
18	улитка за день залезает вверх по дереву на 4 м
18	упорная улитка ползет с постоянной скоростью вверх по столбу, высота которого 1 метр, и за 6 минут поднимается на 30 см, следующие 4 минуты она отдыхает и сползает под собственной тяжестью на 15 см. через сколько минут улитка достигнет вершины?
18	установка двух счётчиков воды (холодной и горячей) стоит 3300 рублей. до установки счётчиков александр платил за воду (холодную и горячую) ежемесячно 800 рублей. после установки счётчиков оказалось, что в среднем за месяц он расходует воды на 300 рублей при тех же тарифах на воду. за какое наименьшее количество месяцев при тех же тарифах на воду установка счётчиков окупится?
18	школьник прочитал книгу за 3 дня в первый день он прочитал 1/5 петерсон
17	3 курицы за 3 дня снесли 3 яйца сколько яиц снесут за 12 дней ответ
17	5 рыбаков съели 5 судаков за 5 дней за сколько дней
17	6. эту загадку ученик 1-ого класса решает за 5 минут, старшеклассник за 15 минут, студент за 1 час, профессор никогда не решит. загадка: расшифруйте одтчпшсвдд
17	автобус за 8 часов работы расходует 48 литров топлива ответы аватария
17	в пачке 250 гвоздей за неделю в мастерской расходуется 900 гвоздей
17	в пачке 250 листов бумаги формата а4. за неделю в офисе расходуется 1100 листов. какого наименьшего количества пачек бумаги хватит на 4 недели?
17	в пачке 250 листов бумаги формата а4. за неделю в офисе расходуется 700 листов. какого наименьшего количества пачек бумаги хватит на 8 недель?
17	в прошлом году из-за плохой погоды за 10 дней туристы преодолели
17	в рукописи 80 страниц за день машинистка перепечатала 4/5 рукописи
17	васе надо решить 140 задач. ежедневно он решает на одно и то же количество задач больше по сравнению с предыдущим днем. известно, что за первый день вася решил 8 задач. определите, сколько задач решил вася в последний день, если со всеми задачами он справился за 7 дней.
17	велосипедист проехал 60 км за 3 часа сколько км он проедет за 7 часов
17	велосипедист рассчитывал проехать по маршруту bc за 2 часа
17	вере надо подписать 640 открыток. ежедневно она подписывает на одно и то же количество открыток больше по сравнению с предыдущим днем. известно, что за первый день вера подписала 10 открыток. определите, сколько открыток было подписано за четвертый день, если вся работа была выполнена за 16 дней.
17	вова и толя красят забор за 10 часов толя и петя красят
17	два крана работая вместе разгрузили баржу за 6 часов
17	два мастера, работая вместе, могут выполнить работу за 6 дней. за сколько дней может выполнить эту работу каждый мастер, работая отдельно, если первый мастер может выполнить всю работу на 9 дней быстрее чем второй? пусть первый мастер, работая отдельно, закончит работу за х дней. какое уравнение соответствует условию задачи?
17	две бригады при совместной работе выполнили задание за 24 дня
17	две бригады разгружают вагон за 6 часов
17	две трубы наполняют бассейн за 16 часов быстрее чем одна первая труба
17	для подготовки к экзамену петя прорешал за 5 дней 120 задач
17	если велосипедист проезжает путь равный 25 метрам за 5 секунд то чему будет
17	если за день ничему не научился зря прожил день
17	за 1 час велосипедист проехал 12 км
17	за 2 дня турист прошел 5/8 пути
17	за 2 дня туристы прошли 56 км с одинаковой скоростью
17	за 3 дня автомобиль проехал 910 км
17	за 30 дней белка съела 3/7 запасенных на зиму орехов
17	за 90 минут самолет пролетел 810 км какое расстояние
17	за неделю израсходовали 5 кг картофеля каждый день поровну
17	зависимость объёма спроса ???? на продукцию предприятия-монополиста от цены ???? (тыс. руб.) задаётся формулой ???? = 160 − 10????. выручка предприятия за месяц ???? (в тыс. руб.) определяется как ????(????) = ???? ∙ ????. определите максимальный уровень цены ????, при
17	игорь и паша красят забор за 24 часа. паша и володя красят этот же забор за 28 часов, а володя и игорь — за 56 часов. за сколько часов мальчики покрасят забор, работая втроем?
17	используя одновременно два подъемных крана баржу разгрузили за 6 часов
17	каждый час турист проходит 6 км сколько километров он проедет за 3 часа
17	как расчитать потребляемую мощность за месяц если известны показания счетчиков
17	как решить задачу в типографии за день отпечатали 3600 книг
17	как решить задачу грузовая машина расходует за 1 час работы 15 л горючего
17	какой угол в градусах описывает минутная стрелка за 20 минут
17	какой угол в градусах описывает часовая стрелка за 20 минут
17	какой угол в градусах описывает часовая стрелка за 4 часа
17	каменщику нужно уложить за день 1000 кирпичей в первой половине дня
17	магазин за 3 дня продал 1240.8 кг сахара не уравнением
17	мастер и его ученик могут выполнить некоторую работу за 17 часов
17	маша прочитала книгу в 98 страниц за 5 дней в первый и второй дни
17	междугородный автобус прошёл путь 80 км за 1 час
17	молочный завод отправил в магазин 56 ящиков сливочного масла по 20 кг в каждом за день продали одну седьмую часть
17	муж меня не узнал!!! если каждый день, за час до сна наносить эту маску на лицо, то через 5 применений вы увидите, как морщинки на лице разглаживаются, а цвет лица выравнивается. это лучшее копеечное средство для красоты!
17	на изготовление 231 детали ученик тратит на 11 часов больше, чем мастер на изготовление 462 таких же деталей. известно, что ученик за час делает на 4 детали меньше, чем мастер. сколько деталей в час делает ученик?
17	на изготовление 252 деталей первый рабочий затрачивает на 9 часов меньше, чем второй рабочий на изготовление 420 деталей. известно, что первый рабочий за час делает на 1 деталь больше, чем второй. сколько деталей в час делает первый рабочий?
17	на изготовление 475 деталей первый рабочий тратит на 6 часов меньше, чем второй рабо- чий на изготовление 550 таких же деталей. известно, что первый рабочий за час делает на 3 детали больше, чем второй. сколько деталей в час делает первый рабочий?
17	на изготовление 486 деталей первый рабочий затрачивает на 9 часов меньше, чем второй рабочий на изготовление 621 детали. известно, что первый рабочий за час делает на 4 детали больше, чем второй. сколько деталей в час делает первый рабочий?
17	на сколько градусов повернётся минутная стрелка часов за 6 минут
17	на ютубе: россия 02.02.2015 секретное литосферное супероружие россии уничтожит весь континент сша за 1 минуту
17	наш первый танец! мы и наши детки! не судите строго, моя любимая беременна и ей не так легко было прыгать! да и репетировать особо было некогда (за день до свадьбы репетировали)
17	некий фермер выяснил, что его корова и коза съедают на лужайке траву за 45 дней, корова и гусь — за 60 дней, а коза и гусь — за 90 дней. если он выпустит одновременно на поле корову, козу и гуся, то за сколько дней они съедят на лужайке всю траву?
17	одна из обувных фабрик москвы дает за 3 минуты 75 пар обуви
17	одна фабрика сшила за день 120 одинаковых спортивных костюмов
17	олег отвечает за час на 8 вопросов теста а никита на 9
17	определите мощность электрического чайника, если в нем 1 кг воды за 5 минут нагревается с 20 до 80 0с.
17	опытный дрессировщик может вымыть слона за 40 минут решение
17	пассажирский поезд за 7 часов прошёл 420 км
17	паша набирает 600 символов на 30 секунд быстрее, чем даша — 450 символов. паша за минуту печатает на 90 символов больше, чем даша.
17	первый насос наполняет бак за 20 минут, второй — за 30 минут, а третий — за 1 час. за сколько минут наполнят бак три насоса, работая одновременно?
17	первая труба может заполнить бассейн за 3 часа а вторая за 5 часов
17	первый и второй насосы наполняют бассейн за 9 минут второй и третий за 10
17	первый и второй насосы наполняют бассейн за 9 минут, второй и третий — за 12 минут, а первый и третий — за 18 минут. за сколько минут эти три насоса заполнят бассейн, работая вместе?
17	первый рабочий за час делает на 3 детали больше чем второй рабочий
17	петя и ваня выполняют одинаковый тест. петя отвечает за час на 8 вопросов текста, а ваня – на 9. они одновременно начали отвечать на вопросы теста, и петя закончил свой тест позже вани на 20 минут. сколько вопросов содержит тест?
17	поезд за 1 час 20 мин проезжает 80 км сколько проедет
17	поезд прошёл 432 км за 9 часов на сколько нужно увеличить скорость
17	пользователь предполагает, что его трафик составит 600 мб в месяц, и исходя из этого выбирает наиболее дешёвый тарифный план. сколько рублей должен будет заплатить пользователь за месяц, если его трафик действительно будет равен 600 мб?
17	последние слова машиниста за 2 минуты до смерти
17	принтер печатает одну страницу за 10 секунд
17	путь от дома до магазина мальчик прошел за 12 минут решение
17	рабочие прокладывают тоннель длиной 87 метров, ежедневно увеличивая норму прокладки на одно и то же число метров. известно, что за первый день рабочие проложили 7 метров туннеля. определите, сколько метров туннеля проложили рабочие в последний день, если вся работа была выполнена за 6 дней.
17	расстояние между двумя пристанями 48 км за час катер прошел
17	своему постоянному клиенту компания сотовой связи решила предоставить на выбор одну из скидок. либо скидку 25% на звонки абонентам других сотовых компаний в своем регионе, либо скидку 5% на звонки в другие регионы, либо 15% на услуги мобильного интернета. клиент посмотрел распечатку своих звонков и выяснил, что за месяц он потратил 300 рублей н
17	сколько каменщик кладет за день кирпича
17	таксист за месяц проехал 6000 км. цена бензина 30 рублей за литр. средний расход бензина на 100 км составляет 9 литров. сколько рублей потратил таксист на бензин за этот месяц?
17	таксист за месяц проехал 8000 км стоимость 1 литра бензина 30 рублей
17	теплоход проплыл 36 км по течению за 2 часа
17	токарь может изготовить 600 деталей за 10 часов
17	три землекопа за 2 часа вырыли 3 ямы
17	три страуса за 3 дня снесли 3 яйца какое количество яиц снесут 6 пар
17	три трубы наполняют бассейн за 6 часов
17	три трубы наполняют бассейн за 6 часов одна первая труба
17	трое рабочих могут выполнить задание за 8 дней
17	улитка за день залезает вверх по дереву на 4 м, а за ночь спускается на 1 м. высота дерева 13 м. за сколько дней улитка доберётся до вершины дерева?
17	урожай зерновых наметили убрать с помощью 12 комбайнов за 8 дней
17	через первую трубу бассейн наполняется за 2 часа а через вторую за 3 часа
16	6 рыбаков съели 6 судаков за 6 дней. за сколько дней 10 рыбаков съедят 10 судаков?
16	6. два наборщика, работая вместе, напечатают рукопись за 5 часов. если первый наборщик будет работать один 6 часов, то второму потребует¬ся 3 часа, чтобы закончить работу. за сколько часов второй наборщик выполнит всю работу один?
16	автомобиль 3/7 части всего пути проехал за 1 час остальную часть пути
16	автомобиль проехал 400 километров. двигаясь со скоростью 60 км/час, он проехал за 2 часа первую часть пути. с какой скоростью он двигался остальную часть пути, если он затратил на нее 4 часа?
16	автомобиль проехал 430 км за 5 часов первые 3 часа он ехал со скоростью
16	аня прочитала за 6 минут 4 страницы
16	бассейн наполняется двумя трубами за 3 часа первая труба действуя одна
16	в магазин завезли фрукты и продали их за 3 дня
16	в пачке 500 листов бумаги формата а4. за неделю в офисе расходуется 1200 листов. какого наименьшего количества пачек бумаги хватит на 4 недели?
16	в среднем за день во время конференции расходуется 60 пакетиков чая
16	в среднем за день во время конференции расходуется 80 пакетиков чая. конференция длится 8 дней. в пачке чая 100 пакетиков. какого наименьшего количества пачек чая хватит на все дни конференции?
16	васе надо решить 490 задач. ежедневно он решает на одно и то же количество задач больше по сравнению с предыдущим днем. известно, что за первый день вася решил 5 задач. определите, сколько задач решил вася в последний день, если со всеми задачами он справился за 14 дней.
16	водонапорный бак заполняется двумя трубами за 2 часа 55 минут
16	грузовик перевозит партию щебня массой 210 тонн, ежедневно увеличивая норму перевозки на одно и то же число тонн. известно, что за первый день было перевезено 2 тонны щебня. определите, сколько тонн щебня было перевезено за девятый день, если вся работа была выполнена за 14 дней.
16	грузовая машина расходует за 1 час работы 15 л горючего ответ
16	грузовая машина расходует за 1 час работы 15 л горючего условия
16	два каменщика выложили стену за 14 дней
16	два трактора вспахали поле за 4 дня
16	две трубы заполняют бассейн за 3 часа 36 минут
16	за 15 минут автомат наполняет 25 стаканчиков
16	за 2 часа велосипедист проехал 28 км
16	за 2 часа двое рабочих выкопали канаву
16	за 3 недели олег выучил 64 английских слова
16	за 5 часов мастер изготовил 65 деталей
16	за месяц рабочий должен был сделать 150 деталей через некоторое время
16	задача сможет ли поезд пройти 300 км за 7 часов
16	знаменитый крем против морщин, который за неделю разгладит самую плохую кожу.впитывается долго, больше часа, поэтому им нужно пользоваться за 2 часа до сна. первый результат увидите через 3 дня..
16	иван сдаёт нормы гто. для бега на дистанцию в 3 километра ему дали три попытки. первый раз иван пробежал за 13 минут и 50 секунд. второй раз — за 14 минут и 30 секунд. перед третьим забегом иван отпил воды, внушил себе, что это допинг, и в итоге показал время в 13 минут и 10 секунд. найдите среднюю скорость движения ивана к заветному значку.
16	игорь и паша красят забор за 9 часов
16	каждый из двух рабочих одинаковой квалификации может выполнить заказ за 15 часов. через 3 часа после того, как один из них приступил к выполнению заказа, к нему присоединился второй рабочий, и работу над заказом они довели до конца уже вместе. сколько часов потребовалось на выполнение всего заказа?
16	каждый из двух рабочих может выполнить заказ за 15 часов через 3 часов
16	какой угол в градусах описывает часовая стрелка за 5 часов 52 минуты
16	катер за 2 часа прошёл 80 км чему равна его скорость
16	лошадь бежит со скоростью 45 км/ч сколько метров она пробежит за 11 минут
16	лыжник пробежал 7 км за 15 минут
16	лыжник спускаясь с горы проходит 50 м за 5 секунд
16	мастер выполнит всю работу за 6 дней а его ученику понадобится
16	мастер и ученик работая совместно могут выполнить задание за 4 часа
16	молочный завод отправил в магазин 56 ящиков сливочного масла по 20 кг в каждом. за день продали одну седьмую
16	молочный завод отправил в магазин 56 ящиков сливочного масла по 20 кг в каждом. за день продали одну седьмую часть этого масла
16	мотоциклист за 3 дня проехал 980 км
16	на уроке физкультуры девятиклассники сдавали зачёт по количеству отжиманий за минуту. зачет ставился, если ребенок отжался не менее 15 раз. на диаграмме показано распределение детей по количеству отжиманий. по горизонтали представлено количество отжиманий, по вертикали - количество школьников, сделавших данное число отжиманий.
16	один лыжник прошёл 10 км за 1 ч 10 мин а второй за 60 минут
16	пассажирский поезд проходит за 3 часа на 10 км больше чем товарный
16	первый и второй насосы наполняют бассейн за 10 минут, второй и третий — за 15 минут, а первый и третий — за 24 минуты. за сколько минут три эти насоса заполнят бассейн, работая вместе?
16	первая бригада может выполнить задание за 20 дней а вторая за 25 дней
16	первый насос наполняет бак за 12 минут второй за 54 минуты
16	первый рабочий за час делает на 3 детали больше чем второй
16	первый спортсмен пробежал эстафету 24 км за 2 часа
16	петя и ваня выполняют одинаковый тест. петя отвечает за час на 8 вопросов теста, а ваня — на 9. они одновременно начали отвечать на вопросы теста, и петя закончил свой тест позже вани на 20 минут. сколько вопросов содержит тест?
